intake_type,intake_subtype,secondary_breed,Breed,AKC_Extended,KennelCardBreed,LOS,AgeGroup,age
CONFISCATE,DANGER IN,unknown,Mastiff,Working,With Breed,5,Senior (8+yr),2.0
STRAY,FIELD,MIX,American Staffordshire Terrier,Pit Bull Types,Without Breed,16,Puppy (0-4mo),0.0
FOSTER,OTC,MIX,Labrador Retreiver,Sporting,Without Breed,0,Puppy (0-4mo),0.0
STRAY,OTC,unknown,Shih Tzu,Toy,With Breed,8,Senior (8+yr),2.0
OWNER SURR,OTC,MIX,Boxer,Working,Without Breed,4,Adult (1-7yr),1.259921049894873
OWNER SURR,OTC,unknown,Weimaraner,Sporting,With Breed,7,Adult (1-7yr),1.709975946676697
OWNER SURR,OTC,unknown,Chihuahua,Toy,With Breed,8,Adult (1-7yr),1.709975946676697
OWNER SURR,OTC,MIX,Chow Chow,Non-sporting,Without Breed,6,Senior (8+yr),2.154434690031884
STRAY,OTC,MIX,American Staffordshire Terrier,Pit Bull Types,With Breed,9,Adult (1-7yr),1.259921049894873
STRAY,FIELD,MIX,German Shepherd Dog,Herding,Without Breed,7,Puppy (0-4mo),0.5848035476425733
STRAY,FIELD,MIX,American Staffordshire Terrier,Pit Bull Types,With Breed,15,Adolescent (5-12mo),1.0
STRAY,OTC,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,21,Adult (1-7yr),1.709975946676697
OWNER SURR,OTC,BOXER,Labrador Retreiver,Sporting,With Breed,24,Senior (8+yr),2.2239800905693157
STRAY,FIELD,SHIBA INU,Beagle,Hound,With Breed,7,Adult (1-7yr),1.259921049894873
STRAY,FIELD,unknown,German Shepherd Dog,Herding,With Breed,31,Puppy (0-4mo),0.0
STRAY,OTC,unknown,Shih Tzu,Toy,Without Breed,8,Adult (1-7yr),1.259921049894873
STRAY,OTC,unknown,Miniature Schnauzer,Other Terriers,Without Breed,1,Adult (1-7yr),1.091392883061106
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,Without Breed,10,Adult (1-7yr),1.5874010519681994
STRAY,FIELD,unknown,Chihuahua,Toy,With Breed,17,Adult (1-7yr),1.259921049894873
STRAY,FIELD,unknown,Beagle,Hound,With Breed,31,Puppy (0-4mo),0.0
STRAY,FIELD,unknown,American Staffordshire Terrier,Pit Bull Types,With Breed,1,Adult (1-7yr),1.1447142425533319
OWNER SURR,FIELD,LABRADOR RETR,Golden Retriever,Sporting,With Breed,7,Adult (1-7yr),1.4422495703074083
